"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"438",2018-12-12,-0.0252209269526759,2272,2495
"439",2018-12-13,-0.0197004835785519,2111,2398
"440",2018-12-14,-0.00952683706710753,2379,2810
"441",2018-12-15,-0.0142479663581437,1659,1927
"442",2018-12-16,-0.0206630754111146,1429,1607
"443",2018-12-17,0.0102543227072225,2755,3491
"444",2018-12-18,0.000396411008078737,2585,2770
"445",2018-12-19,-0.00703544164694672,2320,2666
"446",2018-12-20,-0.014969060828434,2286,2658
"447",2018-12-21,-0.0156338659794204,1872,2099
"448",2018-12-22,-0.00443579714865333,1664,1812
"449",2018-12-23,-0.0220023921424255,1564,2163
"450",2018-12-24,-0.0140949111536547,1511,1698
"451",2018-12-25,-0.0124426900679423,1035,1153
"452",2018-12-26,0.0017104563647553,1156,1430
"453",2018-12-27,-0.0237271663462795,1401,1618
"454",2018-12-28,0.00260180518652877,1529,1830
"455",2018-12-29,0.00512937366012515,1470,1711
"456",2018-12-30,-0.00552117071076946,1494,1714
"457",2018-12-31,-0.00137005997032945,2026,2131
"458",2019-01-01,0.0218555016157278,1593,4205
"459",2019-01-02,0.000937389638673025,1591,2948
"460",2019-01-03,-0.00202143167624052,1977,2872
"461",2019-01-04,-0.000806377118878244,2837,3533
"462",2019-01-05,-0.0219616205143789,2308,2643
"463",2019-01-06,0.00201094706950308,2549,3005
"464",2019-01-07,0.0165104570961331,2762,3125
"465",2019-01-08,-0.00498078624958265,2071,2391
"466",2019-01-09,-0.0135155902084848,2271,2578
"467",2019-01-10,0.00245299562049743,2847,3473
"468",2019-01-11,-0.00854146483396165,2272,2495
"469",2019-01-12,0.00199595167198379,1571,1686
"470",2019-01-13,-0.032042717749626,1735,1908
"471",2019-01-14,-0.00804652923516725,2261,2786
"472",2019-01-15,0.00800257461047884,5348,6699
"473",2019-01-16,0.0100246587851531,4181,4579
"474",2019-01-17,-0.0122850127153392,3136,3689
"475",2019-01-18,-0.00319495547265787,2281,2519
"476",2019-01-19,-0.0179156106194883,1959,2211
"477",2019-01-20,0.00224495031944738,1645,1793
"478",2019-01-21,-0.015691841281646,2104,2257
"479",2019-01-22,-0.0267729128096595,3355,3602
"480",2019-01-23,-0.0260900323650618,2948,3328
"481",2019-01-24,-0.0207191970764285,2221,2402
"482",2019-01-25,-0.0167630136939106,1793,1907
"483",2019-01-26,0.000632783470824548,1479,1568
"484",2019-01-27,-0.00511838449770662,1740,2090
"485",2019-01-28,-0.0267402687218195,2735,2924
"486",2019-01-29,-0.00813544140297639,3037,3360
"487",2019-01-30,-0.00853091764793019,2255,2489
"488",2019-01-31,-0.0195418540137127,1921,2010
"489",2019-02-01,-0.000664458387416105,2166,4682
"490",2019-02-02,-0.0168802127574631,1629,2844
"491",2019-02-03,-0.0127213862496769,1418,2044
"492",2019-02-04,-0.0363890913080122,2457,2904
"493",2019-02-05,-0.021308739870409,2465,2814
"494",2019-02-06,-0.0252780316846698,2680,2872
"495",2019-02-07,-0.0168431522588362,2942,3215
"496",2019-02-08,-0.0114944932054734,2372,2727
"497",2019-02-09,-0.0174732653533909,2048,2187
"498",2019-02-10,-0.00946516728988207,1817,2027
"499",2019-02-11,-0.0108438214300282,2002,2641
"500",2019-02-12,-0.000995997873387818,2197,2547
"501",2019-02-13,-0.00205379236389702,2088,2324
"502",2019-02-14,-0.0034255914920276,2012,2151
"503",2019-02-15,-0.0144937811669453,1523,1697
"504",2019-02-16,-0.0228868266793003,1221,1352
"505",2019-02-17,-0.0147390038463395,1398,1549
"506",2019-02-18,-0.0141701116269276,1543,1738
"507",2019-02-19,-0.031619994366899,2356,2887
"508",2019-02-20,-0.0243409717339664,2694,2970
"509",2019-02-21,-0.0166935783972896,1759,1865
"510",2019-02-22,-0.0203319174709885,2304,2483
"511",2019-02-23,-0.030950829395028,1611,1935
"512",2019-02-24,-0.00040520132356484,1331,1444
"513",2019-02-25,-0.0137811023318157,2145,2209
"514",2019-02-26,0.00797845848189377,1940,2083
"515",2019-02-27,-0.000326121932594045,1900,2287
"516",2019-02-28,0.0190601330035148,1554,1620
"517",2019-03-01,0.0233582429479992,2291,4798
"518",2019-03-02,-0.00314557365406742,1785,3055
"519",2019-03-03,-0.0141237877939599,2051,3501
"520",2019-03-04,-0.0190590714641208,2505,3310
"521",2019-03-05,-0.00937932728640249,2268,2670
"522",2019-03-06,-0.00541992047698928,2569,2824
"523",2019-03-07,-0.00719937471822542,2455,2755
"524",2019-03-08,0.0345179983278939,2835,3203
"525",2019-03-09,0.0120907255307201,1694,1891
"526",2019-03-10,-0.00553610653300223,1409,1517
"527",2019-03-11,-0.0385081891026832,1918,2360
"528",2019-03-12,-0.0365472261466531,2156,2385
"529",2019-03-13,-0.0282359505915961,2133,2282
"530",2019-03-14,-0.0195964607846586,1891,2020
"531",2019-03-15,0.00780485962865657,1416,1519
"532",2019-03-16,0.00541518540134378,1184,1246
"533",2019-03-17,-0.00450228010417316,1162,1266
"534",2019-03-18,0.00100936662413352,1687,1922
"535",2019-03-19,-0.00420513981042281,1757,1862
"536",2019-03-20,2.08195590762328e-05,1399,1507
"537",2019-03-21,0.00303832482494892,1455,1563
"538",2019-03-22,0.011164800948064,1393,1468
